batch_number,swipe_file_name,product_category,platform,ad_id,authority_used,copy_tone,cta_type,cta_urgency,duration,emotional_journey,format_type,hook_strength,hook_type,hook_verbatim,mechanism,notes,objection_handling,offer_mentioned,overall_score,pacing,problem_identified,product_type,social_proof_elements,standout_element,visual_style,weaknesses
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(1).mp4,None,"Conversational, Direct, Urgent, Aspirational","Direct command (""put this in your cart,"" ""buy it"")","Yes - He states it's launch day (""April 10th""), implies high demand (""this is going to sell out""), and mentions a special launch price.",60,Problem Agitation → Solution Introduction → Live Proof → Amazement → Urgency/Action,"Talking Head, Product Demo, Before/After",4.5,"Problem Agitation, Warning/Alert","""Young people, when you get older, there's just days that you're going to wake up and you're going to look like this. This is going to happen all the time.""","Instant eye tightening gel formulated with ""collagen targeting technology,"" ""Arctic microalgae,"" and ""chestnut seed extract.""","This is a highly effective UGC-style ad. The creator's delivery feels genuine, and the visual proof is undeniable. Creating a ""launch day"" event within the ad copy is a smart tactic to drive immediate conversions.","Addresses potential concerns about value/cost by stating you only need an ""apple seed amount"" and that the tube is ""going to last me forever."" Addresses skepticism by showing the live results.","""Stupid good price for the launch today"" and ""free 3-day shipping.""",8.5,Fast,"Under-eye bags, wrinkles, and looking tired/aged",Skincare / Instant Eye Tightening Gel,"Live, on-camera demonstration showing a stark visual difference between the treated eye and the untreated eye","The dramatic, visible difference between his two eyes is the core selling point. The use of the mini purple fan is also a quirky, memorable visual that keeps the pacing fast.","Raw/authentic, selfie-style, unpolished","He briefly complains about his skin being ""splotchy"" right after applying the product. While it adds authenticity, it could momentarily confuse a viewer into thinking the product caused a reaction, though he quickly moves past it."
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(2).mp4,The speaker establishes authority via an on-screen claim of '15 years in skincare'.,"Educational, Conversational",Learn More (via article link),No,130,Curiosity -> Skepticism (of common treatments) -> Hope -> Proof -> Action,"Talking Head, Listicle, Text-on-screen, Before/After",4.0,Authority Statement,"""Rating undereye treatments after 15 years in skincare. Botox. Oh, I hate Botox. 1/10.""","It combines Electric Muscle Stimulation (EMS) to drain fluid buildup and increase lymphatic drainage, with Red Light Therapy to quickly reboot collagen and elastin production.","The ad effectively uses a 'debunking' framework to establish the speaker's credibility before pitching the product. Text overlays are large, clear, and track the spoken content well. The strategy of driving traffic to an advertorial article rather than a direct sales page is a classic affiliate marketing tactic to warm up leads.","Addresses the dangers, ineffectiveness, or high risks of alternative treatments (Botox, surgery, topical creams) to position the device as the safe, root-cause solution.",None,7.0,Medium,"Undereye bags, puffiness, and aging skin",Undereye device (EMS + Red Light Therapy),Before/After photos shown at the end,The 'rating' listicle format effectively builds trust by criticizing popular but flawed treatments before revealing the ideal solution.,"Clean, direct-to-camera, educational","The speaker's delivery is slightly stiff, and the pivot to an 'article link' reveals it as a top-of-funnel advertorial pitch, which might cause drop-off."
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(3).mp4,"Indirectly: friend at a medical journal, doctor in San Diego, Dr. Sarah Mitchell","Conversational, Empathetic, Story-driven, Aspirational","Read the article linked just below this video, Try it risk-free for 90 days","No strict time-based scarcity, but strong emotional urgency to try before surgery",228,Humiliation → Desperation → Financial/Family Stress → Hope → Astonishment/Proof → Vindication → Advocacy,"Talking Head, Text-on-screen, Before/After, Product Demo, Testimonial",5.0,Bold Claim,"""Under-eye bags flat in 4 weeks. No surgery. No fillers.""","Dual-technology: It pulses a tiny electrical current (microcurrent) that physically pushes trapped fluid out of the area, while shining a red light that opens up drainage pathways so the fluid can clear.","The production uses the 'car rant' format brilliantly to lower the viewer's guard. The B-roll overlays (surgery photos, loan paperwork, 3D skin animations) are perfectly timed to keep the viewer visually stimulated during a very long, dialogue-heavy ad.","Addresses price/value by contrasting with $8,500 surgery; efficacy by explaining why creams fail; safety/downtime by comparing with surgery recovery",90-day risk-free trial (money-back guarantee) for a $79 device,9.0,Medium,"Severe, structural under-eye bags, trapped fluid, puffiness, and aging appearance around the eyes",Handheld under-eye beauty/skincare device,"Multiple before-and-after photos, story about skeptical photographer, claim of over 145,000 users","The extreme emotional stakes of the script, tying cosmetic issue to severe life stressors.",Raw/Authentic UGC,Video is quite long for standard social media ads; story might be perceived as fabricated by skeptical viewers.
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(4).mp4,"Mentions ""14 world-renowned dermatologists and lymphatic specialists,"" ""NASA-backed technologies,"" ""Clinical testing,"" and features B-roll of doctors/surgeons and 3D medical animations.","Conversational, Educational",Click below,Yes - Right now it's 70% off,151,Frustration → Curiosity → Skepticism → Surprise/Validation → Understanding → Confidence/Action,"Talking Head, Before/After, Text-on-screen, Product Demo, Voiceover + B-roll",4.0,"Curiosity Gap, Social Proof","""That eye bag device you've seen all over your feed? I actually tried it.""","The device uses microcurrents to act as a ""manual lymphatic drain"" to clear pooled fluid, combined with NASA-backed red light therapy to rebuild lymphatic channel walls so they continue to drain properly on their own.","The ad masterfully uses a ""story within a story"" to anchor the high cost of alternatives before introducing her own experience. The risk reversal at the end is exceptionally strong, removing almost all friction for the buyer. The pacing and varied visual formats keep the viewer highly engaged throughout a relatively long runtime.","Yes. Addresses skepticism of social media fads, failure of creams, flaws of expensive surgery, and financial risk with an extreme risk-reversal guarantee.","70% off, plus a 90-day money-back guarantee where the customer receives a full refund and does not even have to return the product.",9.0,Fast,"Under-eye bags, puffiness, dark circles, and heavy eyelids caused by aging and poor lymphatic drainage",Under-eye skincare device,"Before/after photos, personal day-by-day testimonial, the story of ""Linda,"" claim of clinical testing on 2,400+ women, and the husband's unsolicited positive reaction.","The combination of a relatable, skeptical UGC narrative with high-end 3D medical animations explaining the ""real"" root cause makes the product seem both accessible and scientifically superior to alternatives.","A hybrid approach mixing native-looking UGC with highly produced 3D medical animations, article screenshots, and clinical B-roll.","The transition from a seemingly organic ""car vlog"" review to highly produced 3D graphics and scripted scientific explanations slightly breaks the illusion of a spontaneous, user-generated video."
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(5).mp4,"Mentions NASA-backed technology, 14 world-renowned dermatologists, clinical testing on 2,400+ women, and shows b-roll of doctors/surgeons.","Conversational, Educational",Tap Below,Yes - mentions 'Right now it's 70% off',148,Frustration -> Curiosity -> Education -> Skepticism -> Surprise -> Conviction -> Action,"Talking Head, Voiceover + B-roll, Text-on-screen, Product Demo, Before/After, Testimonial",4.0,Transformation Promise,Watch what 3 weeks did to my eye bags.,"The device uses microcurrents to manually drain pooled lymphatic fluid and red light therapy (NASA wavelength) to rebuild lymphatic channel walls, addressing the root cause of eye bags which is poor drainage, not just fat.","Excellent use of the 'diary' format (Day 1, Day 5, Day 10) to build a believable timeline of results. The script effectively shifts the blame from the user to a biological mechanism (lymphatic collapse) and positions the product as the only logical solution over surgery. The final guarantee is an incredibly strong offer.","Addresses skepticism ('I've been fooled before'), cost (compares to $8,500 surgery and $250 creams), and risk (90-day no-return refund).",70% off and a 90-day money-back guarantee where you don't even have to return the product.,9.0,Fast,"Under-eye bags, puffiness, and aging eyes",Under-eye microcurrent and red light therapy device,"Personal before/after photos, a story about another customer ('Linda'), clinical testing numbers, and a montage of user selfies.",The detailed 3D medical animations explaining lymphatic drainage provide a strong logical 'reason why' that perfectly complements the emotional personal story.,Raw/authentic UGC mixed with high-quality 3D medical animations,"The highly polished 3D animations and professional b-roll slightly contradict the 'raw, authentic UGC' feel established by the woman in the car, revealing it as a highly produced ad."
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(6).mp4,None,"Conversational, Empathetic",Soft-sell recommendation,"Yes - creator states product is ""selling out fast""",58,Targeted Hook → Problem Agitation → Skepticism Overcome → Visual Proof → Delight → Urgency/Action,"Talking Head, Product Demo, Testimonial",5.0,"Warning/Alert, Pattern Interrupt","""Brown-eyed ladies, stop using harsh black mascara""","The navy blue pigment brightens the eyes, makes lashes appear fuller, and provides a softer, less harsh look compared to black mascara. It is specifically formulated for the needs of women over 50 (non-smudging, lifting).","The creator is highly engaging, expressive, and believable. The dynamic text overlays perfectly match the spoken words, making the ad highly effective for ""sound-off"" viewing. The close-up shots of her applying the mascara are clear and show the actual color payoff without looking heavily filtered. The brief b-roll showing the full product line adds brand legitimacy.","Addresses skepticism of colored mascara and performance concerns (smudging, panda eyes).",None,8.5,Medium,"Harsh black mascara on mature eyes, thinning lashes, smudging",Mascara,"Personal testimonial, visual demonstration, implied scarcity (""selling out fast"")","The opening hook, combining ""brown-eyed ladies"" with ""stop using black mascara,"" creates instant curiosity and targets the demographic effectively.",Polished UGC / Lifestyle,"Lacks a strong, direct Call-To-Action and no discount or risk-free guarantee is offered."
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(7).mp4,None,"Conversational, Empathetic",Encouragement to purchase,Yes - selling out fast,55,Hesitation → Relatability/Frustration → Discovery → Delight → Urgency,"Talking Head, Product Demo, Before/After, Testimonial",4.0,Question,"""Scared to try colored mascara? I got you.""","The navy blue shade brightens eyes and provides a softer look, while the formula lifts, defines, and lengthens without smudging.","The ad is highly effective in its niche targeting. By explicitly stating the brand makes makeup ""just for women over 50,"" it builds immediate trust and relevance with that specific demographic. The creator perfectly matches the target audience, making her testimony highly credible.","Addresses concerns about colored mascara being too bold, smudging, and effectiveness on thin/short lashes.",None,8.0,Medium,"Aging lashes, smudging mascara, harsh black mascara",Colored Mascara,"Real-time product application, visual Before/After",The visual demonstration and the side-by-side comparison showing one eye with the mascara and one without. It clearly proves the claim that the navy blue is flattering and not overly dramatic.,"Raw/authentic, Lifestyle","The Call to Action is slightly weak. While it creates urgency, it doesn't explicitly tell the viewer *what* to do next (e.g., ""Click the link below to get yours"")."
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(8).mp4,None,"Conversational, Aggressive",Click the link,No,34,Problem Agitation → Relief/Excitement → Proof → Action,"Talking Head, Product Demo, Before/After, Split-screen",4.0,"Bold Claim, Pattern Interrupt","""Y'all, getting NAD into your system just got so much freaking easier, okay?""","Transdermal delivery via patches (""you just put one of these patches on every single day"").","The ad effectively uses the patches themselves as a visual prop to stop the scroll, even though a user would likely only wear one patch at a time in reality. This exaggeration works well for platform algorithms like TikTok or Meta.","Directly addresses the common objections to supplements by stating, ""Not a drink you have to drink, not a pill you have to take.""",None,7.0,Fast,"The inconvenience and unpleasantness of taking traditional NAD supplements (drinks and pills), as well as poor skin complexion.",NAD+ Patches (Wellness/Skincare supplement),"Personal testimonial, before/afters",The visual pattern interrupt of the speaker having multiple bright blue patches stuck to her face and chest right from the first frame.,"Casual, bright, home-setting UGC","The split-screen ""before"" photo is shown very briefly and is awkwardly cropped/placed, making it hard for the viewer to truly analyze the transformation. The excessive patches on the face might also come across as gimmicky to some viewers."
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(9).mp4,None,"Conversational, Enthusiastic",None explicit,No,30,Curiosity → Solution Reveal → Convenience/Ease of Use → Scientific Validation → Endorsement,"Talking Head, Product Demo, Voiceover + B-roll",4.0,"Curiosity Gap, Social Proof","""This beauty literally has done so much magic for my hair. All my friends are asking what have you done.""","Red light therapy. The ad claims the device uses ""500 diodes with lasers and LEDs"" to stimulate the scalp, supported by a 3D animation showing red light penetrating the skin to reach hair follicles.","The production quality is solid for a UGC-style ad. The dynamic, word-by-word text overlays are excellent for retaining attention on social media platforms where users might watch on mute. The brief insertion of the 3D animation is a smart way to add perceived scientific value without breaking the casual tone for too long.","Yes, it addresses the inconvenience of maintaining a beauty routine while traveling. She emphasizes the premium travel case, stating, ""I just love how easy it is to travel with and use on the go,"" and ""travel ain't gonna stop the consistency."" It also addresses time commitment by mentioning it only takes ""12 minutes a day.""",None,7.0,Fast,"Hair thinning, lack of hair growth, or general poor hair health",Wearable hair growth device/helmet,"Anecdotal social proof (""All my friends are asking what have you done"")","The emphasis on portability. Showing a seemingly bulky, high-tech helmet being easily packed into a sleek travel case and used in a car makes the product feel accessible and practical for everyday life.","Lifestyle, raw/authentic UGC","The ad lacks visual proof; despite claiming the device did ""magic"" for her hair, there are no before/after photos to substantiate the claim. Additionally, the lack of a clear, direct Call to Action or special offer at the end reduces its immediate conversion potential."
01,AI UGC + Doctor Avatars — Beauty,Beauty / Skincare,Meta,GetHookdAI(10).mp4,"Dr. Manjula Jegasothy, Harvard-trained dermatologist","Educational, Empathetic, Clinical/Scientific","Click the button below, Select the package, Complete your order","Yes - ""If you scroll past this video, you may never see this incredible offer again and miss your chance at younger, healthier skin for good.""",679,Frustration/Embarrassment → Aha Moment/Education → Hope → Trust/Proof → Desire → Action,"AI UGC, Talking Head, Voiceover + B-roll, Text-on-screen, Before/After, Testimonial, Doctor Avatar",4.0,"Curiosity Gap, Problem Agitation","""Here's what happened when I put three crepey skin products to the test for 30 days.""","The ad claims that aging skin suffers from ""fibroblast failure,"" which stops the production of Natural Moisturizing Factors (NMFs). The product uses a specific blend of Ribose, Fractionated Coconut Oil, and Grapeseed Oil to penetrate deep, stop fibroblast failure, restore NMFs, and stimulate collagen production from within.","This is a textbook, highly effective Video Sales Letter (VSL). The transition from a relatable, everyday consumer testing products into a doctor-led educational presentation is a classic and very successful direct-response marketing tactic. The production quality of the doctor's segment is excellent, and the constant use of text overlays and changing visuals helps retain attention despite the long runtime.","Skepticism, Risk, Price","Discounted single bottle, bulk discounts, 60-day ""empty bottle"" money-back guarantee",8.0,Medium,"Thin, wrinkled, aging, and ""crepey"" skin",Body cream,"Before/after photos, video testimonials, 5-star written reviews, media mentions","The detailed biological explanation of ""fibroblast failure"" and NMFs paired with high-quality 3D animations, elevating the product to a scientifically backed ""treatment.""","UGC, polished, clinical, educational VSL style",The extreme length (over 11 minutes) is a significant barrier for top-of-funnel social media advertising.
