brand_name,product_category,total_ads_visible,dominant_hook_type,dominant_ad_format,best_hook_verbatim,body_copy_formula,headline_variants,dominant_cta,unique_creative_angle,top_swipe_element,creative_quality_score,key_framework_insight,video_image_ratio,page_accessible
Monica Reed (FuelSave),Tech/Gadget - Fuel Saving Device,190,Conspiracy/Suppression + Personal Testimony,UGC Talking Head,"Guys, I can't believe this...this weird little device saved me $863 on fuel this year alone.",Personal testimony + specific dollar savings + works on ANY car + urgency (link being taken down),1. Save 55% On Fuel Costs In SECONDS | 2. Wow...this saved me 35% on fuel costs | 3. They want this taken down.,Learn More,"Conspiracy angle (""they want this taken down"") combined with hyper-specific savings claims creates massive urgency and FOMO.","The ""they want this taken down"" CTA line — creates urgency without a traditional discount.",8.5,"Conspiracy suppression framing (""they want this removed"") is one of the most powerful urgency mechanisms in direct response — it implies scarcity without a price discount.","95% video, 5% image",True
Steven Harris,Eyewear/Vision Correction,150,Personal Testimony,VSL,I Never Thought I'd See Clearly Again At Every Distance. I Was Wrong.,The body copy follows a storytelling pattern: Problem Introduction -> Discovery/Intervention -> Personal Experience/Proof -> Explanation/Mechanism (often revealing industry secrets) -> Benefits/Transformation -> Call to Action/Urgency.,1. I Never Thought I'd See Clearly Again At Every Distance. I Was Wrong. | 2. Why you should never pay for progressive lenses before knowing what LensCrafters employees actually wear. | 3. Why you should never replace your glasses before knowing what the optical industry has been hiding about your prescripti...,Learn more,"The unique angle is the 'insider secret' or 'conspiracy' narrative, where the optical industry is portrayed as actively suppressing a superior product that would disrupt their business model. This is combined with a strong personal testimony from a relatable figure (a doctor, a regular person).",The 'personal story of discovery and betrayal by the industry' where a trusted friend/expert reveals a hidden truth about a common problem.,8.5,"Leveraging a personal narrative combined with a 'conspiracy' or 'hidden truth' angle can create highly engaging and persuasive ad copy, especially when targeting common frustrations with existing solutions.","90% video, 10% image",True
HeartCalm,Heart Health Wearable,19,Problem Agitation,Static Image,"""15 minutes out of 525,585. That's the math on your annual checkup. HeartCalm fills the gap with continuous heart rate, BP trends, and blood oxygen — right on your wrist.""","Problem-solution narrative focusing on continuous heart monitoring vs. annual checkups, emphasizing ease of use and lack of subscriptions/apps.","1. Is 0.003% of Your Year Enough to Monitor Your Heart? | 2. What Happens to Your Heart the Other 525,585 Minutes? | 3. Tired of BP Cuffs You Forget to Use?",Shop now,"Focus on the inadequacy of annual doctor visits for heart health monitoring, positioning the product as a continuous, simple solution without smartphone dependency.","The use of specific timeframes (e.g., '15 minutes out of 525,585') to highlight the limited scope of traditional checkups.",8.5,"Leveraging a strong problem-agitation-solution framework by highlighting a common health concern (infrequent heart monitoring) and offering a simple, direct solution.","100% image, 0% video",True
Scandinavian Biolabs,Hair Growth Supplements,22,Social Proof,Mixed,"Join over 100,000 satisfied customers who have already seen real results with our clinically-tested and trusted Bio-Pilixin® Serum.","Focus on social proof (100,000+ satisfied customers, real results), clinical testing, and problem/solution (hair loss reduction).",1. Real Results with Our Clinically-Tested Serum | 2. Real Results with Our Clinically-Tested Routine | 3. Hair Growth & Nutrient Bundle | For Men,Learn More,"The brand heavily leverages social proof, clinical study results (e.g., 93.3% success rate), and a money-back guarantee to build trust and urgency. They also use a direct problem/solution approach for hair loss.","Emphasis on specific clinical trial results (e.g., '93.3% success rate in 150 days') combined with a strong money-back guarantee.",8.5,"Leveraging specific, quantifiable clinical results and strong guarantees (money-back) in both body copy and potentially headlines significantly boosts credibility and conversion for health-related products.","100% video, 0% image",True
Create Wellness,Health Supplements (Creatine Gummies & Electrolytes),190,Mixed,Mixed,"What if one small habit could power your strength, recovery, energy, and focus? 💪⚡","Problem/Benefit/Solution: Start with a problem or a question that agitates a common pain point (e.g., measuring creatine, lack of energy), introduce the product as the easy solution (gummies, single-serve sachets), and highlight the benefits (strength, recovery, focus, convenience). This is often followed by social proof (50k+ customers, NSF Certified) and a call to action.",1. [Benefit-driven statement] | 2. [Urgency/Offer] | 3. [Problem/Solution],Shop Now,"The unique creative angle is the emphasis on creatine in a gummy format, positioning it as a fun, delicious, and convenient way to consume a supplement often associated with powders and measuring. They also leverage influencer endorsements and strong social proof.","The consistent use of 'gummies' as a convenient and tasty alternative to traditional creatine powders, addressing a common pain point for users.",8.5,"The brand effectively uses a combination of problem-agitation and curiosity-gap hooks, often integrating social proof and convenience as key selling points, which is highly effective for health supplements.","80% video, 20% image",True
Mars For Men,"Men's health supplements (energy, stamina, vitality, nitric oxide, testosterone, blood flow)",15,Problem Agitation,Mixed (Video and Static Image),💪 Energy. Stamina. Vitality. 🔥 Mars Growth Max Combo keeps you performing at your best every day.,"Starts with a strong, benefit-driven statement or problem agitation, followed by product introduction, explanation of benefits/mechanism, and a call to action. Often includes emojis for emphasis.",1. [Benefit-driven statement] | 2. [Product name] + [Key benefit] | 3. [Urgency/Offer],Learn More,"The brand uses a direct, masculine, and benefit-oriented approach, often employing emojis and strong language to convey vitality and performance. They focus on natural ingredients and scientific backing for their supplements.",The use of emojis in both body copy and headlines to quickly convey benefits and emotions.,8.5,"Leveraging strong, benefit-driven hooks that address common male health concerns (energy, stamina, testosterone) combined with clear product mechanisms and urgency creates high-converting ads.",,True
MindBodyGreen,N/A,,Mixed,Mixed,N/A,N/A,N/A,N/A,N/A,N/A,7.0,"No ads were found for this brand at this time, so no insights can be extracted.","0% video, 0% image",True
Rheal_Superfoods,Superfood Blends / Health Supplements,24,Social Proof,Static Image,"""Forget quick fixes, your health deserves better.""",Problem Agitation / Bold Claim -> Solution Introduction -> Bulleted Benefits (with emojis) -> Social Proof / Offer -> CTA,1. As Seen on Dragons' Den | 2. Hormone-balancing superfoods | 3. Clinically-proven to increase collagen production,Shop Now,"The brand distinguishes itself by combining strong social proof (Dragons' Den endorsement, large customer base) with a focus on natural, clinically-studied ingredients for targeted health concerns like hormone balance and gut health.",Leveraging 'As Seen on Dragons' Den' and 'Loved by +1M people' for social proof.,8.5,"Leveraging strong social proof (TV appearances, customer numbers) and directly addressing specific health problems with natural, science-backed solutions drives engagement.","45% video, 54% image",True
Beam Organics,Health/Wellness Supplements,65,Problem Agitation,Mixed,"When stress stays high, your body feels it everywhere - low energy, bloating, and feeling off.","Problem identification and agitation, followed by product introduction as solution, then benefits and a call to action with a discount code.",1. [Benefit-driven statement] | 2. [Product name] + [Offer] | 3. [Problem/Solution],Shop Now,"Beam Organics effectively combines problem-agitation with social proof and direct discount offers, often featuring specific influencer codes, to create a sense of urgency and relatability.","The use of specific discount codes (e.g., WELLNESS, JENN40, NEWYEARS, LAURA42, KIDS) directly in the ad copy and headlines to drive immediate purchases.",8.0,Leveraging problem-agitation hooks combined with clear product benefits and strong discount-driven CTAs is highly effective for health supplements.,"50% video, 50% image",True
Grüns,Superfood Gummies / Health Supplements,1100,Problem Agitation,UGC Talking Head,"""Daily nutrition, but make it taste like summer break. 💥🍒🍋🫐""","Problem/Hook (e.g., Feeling off?) + Mechanism/Features (60 ingredients, 21 vitamins, prebiotics) + Benefit (energy, gut health) + Offer (Up to 61% OFF + Free Gifts)",1. Your Favorite Daily Habit | 2. Your Favorite Popsicle® × Your Favorite Greens | 3. Get up to 61% OFF + 4 FREE gifts – online exclusive,Shop Now,"Positioning a comprehensive greens/superfood supplement as a delicious, nostalgic gummy (like a Popsicle) rather than a gritty powder, making daily nutrition feel like a treat.",The 'Popsicle Firecracker' collaboration angle - partnering with a nostalgic flavor brand to overcome the common objection that greens/superfoods taste bad.,8.5,"Overcome taste objections in health supplements by heavily leaning into nostalgic, universally loved flavor profiles (like Popsicles) and leading with the 'tastes like a treat' angle.","66% video, 33% image",True
